config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_big_shake,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
1,10,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0,72460.727,91686.7527,81166.69477999999,5066.755177459998,25672008.028317697,80868.69425,1207.6788,1528.1125,1352.7782499999998,84.44590670652559,7131.111159487223,1347.8116,78,680,416.4,228.297174752558,52119.600000000006,460.5,378,980,716.4,228.297174752558,52119.600000000006,760.5,1854.5248,2022.8786,1948.1446199999998,52.882984217774016,2796.6100197773358,1953.9247,0.1516,0.2492,0.20823999999999998,0.037108256044533626,0.0013770226666666666,0.20615,29.19,80.23,50.348,17.38529698081431,302.2485511111111,49.69,3,9,6.5,2.173067468400883,4.722222222222223,7.0
2,10,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0,80873.8601,94011.9545,84724.14786,3847.408545628351,14802552.516974062,83778.0073,1347.8977,1566.8659,1412.0691199999999,64.12347830275583,4111.820469643997,1396.3001,132,389,271.3,82.7097334054463,6840.9,299.0,432,689,571.3,82.70973340544631,6840.9000000000015,599.0,1899.4989,2050.824,1990.04761,48.038088626062574,2307.6579588454424,1994.4749,0.1685,0.2924,0.21842,0.037350555551423865,0.001395064,0.22055000000000002,35.47,52.69,46.273,6.198643310345328,38.423178888888884,47.715,4,6,5.0,0.9428090415820634,0.8888888888888888,5.0
3,10,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0,73304.2171,86806.1052,78832.1863,4608.98828994116,21242773.056814734,77906.10209999999,1221.737,1446.7684,1313.86977,76.81646500163083,5900.769295346774,1298.43505,238,592,363.4,111.2916089479446,12385.822222222223,352.5,538,892,663.4,111.29160894794458,12385.822222222218,652.5,1736.4488,1963.387,1863.62487,84.29601149436363,7105.817553857884,1862.67985,0.124,0.2362,0.15604,0.03487030573743542,0.001215938222222222,0.14545,44.94,75.94,55.839999999999996,9.94798695437647,98.96244444444444,53.870000000000005,2,3,2.1,0.31622776601683794,0.09999999999999999,2.0
4,10,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0,68870.5471,86538.6424,77189.78948,5075.349543528081,25759172.988990698,78202.4189,1147.8425,1442.3107,1286.4965,84.58915335805958,7155.324865833321,1303.37365,205,551,318.0,130.23141795366516,16960.22222222222,260.0,505,851,618.0,130.23141795366516,16960.22222222222,560.0,1761.6912,1976.1457,1873.2107199999998,86.97981763845884,7565.488676419554,1880.0381499999999,0.1125,0.2143,0.15027,0.031275267118496895,0.000978142333333333,0.1387,42.77,70.31,51.883,10.44183897170949,109.03200111111111,47.015,1,3,2.0,0.6666666666666666,0.4444444444444444,2.0
5,10,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0,71581.0826,83402.9644,77165.25538999999,3282.2893646671446,10773423.473407047,76831.33304999999,1193.018,1390.0494,1286.08759,54.704832552637626,2992.6187046121213,1280.5221999999999,207,460,321.5,86.86803529236491,7546.055555555556,313.0,507,760,621.5,86.86803529236491,7546.055555555556,613.0,1324.8714,1771.6719,1593.42766,149.21278772268815,22264.456019975994,1604.96025,0.0287,0.1015,0.06146,0.022731779027999055,0.0005167337777777776,0.06334999999999999,45.38,69.12,57.78099999999999,6.939634076167929,48.1585211111111,59.375,0,0,0.0,0.0,0.0,0.0
6,10,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0,75670.2938,94441.1647,83036.62875,4880.071899400472,23815101.743318126,82907.13485,1261.1716,1574.0194,1383.94382,81.33452485543609,6615.30493345955,1381.7856000000002,52,1798,661.4,502.7856181095256,252793.37777777776,602.5,702,2448,1311.4,502.7856181095256,252793.37777777776,1252.5,1902.6352,2112.4339,2005.92216,62.43680974608919,3898.3552112693383,1998.071,0.1787,0.2891,0.24199,0.03733632279697614,0.0013940010000000004,0.25675000000000003,22.45,76.06,44.251,15.426707324924811,237.98329888888884,39.455,6,24,12.5,5.1693541397569405,26.72222222222222,12.0
7,10,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0,73652.1912,88354.4982,83071.70664,4923.196621343914,24237864.972412128,83906.78435,1227.5365,1472.575,1384.52846,82.05328795220282,6732.742063767114,1398.4464,130,1029,472.5,279.86236696712984,78322.94444444444,386.5,780,1679,1122.5,279.86236696712984,78322.94444444445,1036.5,1972.3763,2114.1164,2037.19227,44.816123625519914,2008.4849368178843,2053.9173499999997,0.2377,0.3174,0.27259,0.02897099890887055,0.0008393187777777785,0.2619,24.34,60.58,36.327999999999996,11.531562291766406,132.9769288888889,32.495000000000005,7,16,10.6,2.756809750418044,7.599999999999999,10.0
8,10,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0,73702.8866,81504.6646,77453.37383,2398.102462746686,5750895.42183172,77765.96914999999,1228.3814,1358.4111,1290.88956,39.968391502402646,1597.4723192893318,1296.0994999999998,260,1657,802.3,443.1621348646314,196392.67777777778,795.5,910,2307,1452.3,443.1621348646314,196392.67777777778,1445.5,1850.062,1940.941,1882.32176,32.268484460717325,1041.2550893915557,1870.1763,0.1336,0.2157,0.17035,0.029774159191412203,0.0008865005555555558,0.16685,28.47,74.03,46.966,13.242343028667129,175.3596488888889,45.95,3,9,5.4,1.776388345929897,3.1555555555555554,5.5
9,10,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.6,0.01,10.0,71541.9453,80787.7082,76519.72058,3286.1018320023027,10798465.250288889,77629.9474,1192.3658,1346.4618,1275.32868,54.7683550352614,2999.572713268443,1293.8324499999999,203,1420,555.6,366.2170576766371,134114.93333333335,515.0,853,2070,1205.6,366.2170576766371,134114.93333333335,1165.0,1815.3662,1991.0892,1901.5213199999998,61.689869488268094,3805.6399974795504,1889.1625,0.1344,0.2343,0.17671,0.03366387612197317,0.0011332565555555554,0.1658,26.86,67.51,38.635000000000005,12.016405683712398,144.3940055555556,37.18,3,8,4.4,1.577621275493231,2.488888888888889,4.5
10,10,40,4000,0.5,2.0,0.05,650,400,0.4,80,0.3,0.01,10.0,71761.3184,83238.6368,77550.51912,4133.62318425526,17086840.62941259,77609.7746,1196.022,1387.3106,1292.50867,68.89370604094157,4746.3427320556675,1293.4962500000001,233,1740,732.2,541.4082050028836,293122.84444444446,483.0,883,2390,1382.2,541.4082050028836,293122.84444444446,1133.0,1725.8185,1918.6424,1816.18978,71.11206503206043,5056.925793123991,1812.05755,0.106,0.1833,0.13616999999999999,0.021586366582225507,0.00046597122222222204,0.13795,29.06,78.32,45.025,18.0170753885184,324.6150055555555,36.105000000000004,2,5,2.9,1.286683937707919,1.6555555555555557,2.0
