config_id,repeat,best_cost,best_cost_minutes,best_iteration,avg_cost_final_minutes,diversity_final,iterations_done,execution_time,big_shakes_count,big_shakes_at_iter,last_big_shake_iter,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
1,1,74466.9093,1241.1152,366,25223.1903,0.2706,666,13.8,3,"[326, 466, 566]",566,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,2,86301.5675,1438.3595,226,27749.1482,0.2774,526,11.63,2,"[326, 426]",426,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,3,77497.0974,1291.6183,225,20579.5777,0.2745,525,11.07,3,"[158, 325, 425]",425,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,4,84100.891,1401.6815,194,23492.6538,0.2914,494,10.7,2,"[294, 394]",394,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,5,84055.5675,1400.9261,117,26841.5908,0.2704,417,8.79,2,"[217, 317]",317,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,6,76406.0513,1273.4342,273,22357.0479,0.2646,573,12.12,3,"[235, 373, 473]",473,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,7,76409.1134,1273.4852,291,21242.3266,0.2873,591,12.44,3,"[246, 391, 491]",491,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,8,81670.4255,1361.1738,560,15017.8079,0.264,860,18.11,6,"[190, 290, 415, 526, 660, 760]",760,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,9,83758.8895,1395.9815,89,28543.478,0.2898,389,8.36,2,"[189, 289]",289,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,10,81743.4371,1362.3906,593,18412.5434,0.2943,893,20.54,4,"[217, 528, 693, 793]",793,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
2,1,84551.4427,1409.1907,139,34794.9713,0.2955,439,11.46,2,"[239, 339]",339,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,2,85783.3214,1429.722,142,22107.7414,0.2949,442,15.53,2,"[242, 342]",342,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,3,84210.7137,1403.5119,183,21318.8569,0.299,483,14.81,2,"[283, 383]",383,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,4,82186.2465,1369.7708,204,25392.3381,0.2809,504,11.62,2,"[304, 404]",404,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,5,86203.4064,1436.7234,62,15917.8403,0.2809,362,7.71,2,"[162, 262]",262,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,6,83847.7493,1397.4625,74,21067.7734,0.2815,374,8.02,2,"[174, 274]",274,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,7,84974.9488,1416.2491,204,22786.772,0.2786,504,11.33,2,"[304, 404]",404,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,8,83534.668,1392.2445,132,21687.151,0.2838,432,9.4,2,"[232, 332]",332,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,9,80558.9183,1342.6486,290,21946.2966,0.2857,590,13.11,3,"[254, 390, 490]",490,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,10,80068.6137,1334.4769,104,23987.7379,0.2867,404,8.81,2,"[204, 304]",304,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
3,1,78729.6273,1312.1605,648,28974.2912,0.162,948,20.97,3,"[300, 591, 898]",898,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,2,79050.104,1317.5017,336,39102.3548,0.1841,636,13.67,1,[586],586,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,3,78859.2489,1314.3208,398,46435.9046,0.1841,698,15.14,2,"[333, 648]",648,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,4,79261.6709,1321.0278,593,40811.3034,0.1824,893,19.68,1,[843],843,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,5,78290.2043,1304.8367,639,41362.6071,0.1737,939,22.02,2,"[586, 889]",889,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,6,80438.4562,1340.6409,117,34471.9659,0.1807,417,9.44,1,[367],367,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,7,75365.6808,1256.0947,658,32691.8654,0.1748,958,19.74,3,"[345, 632, 908]",908,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,8,75305.0411,1255.084,681,40758.6054,0.1678,981,21.02,1,[931],931,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,9,77519.9639,1291.9994,784,40167.5325,0.1661,1084,22.94,3,"[455, 725, 1034]",1034,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,10,74737.7127,1245.6285,781,52295.652,0.1841,1081,22.62,2,"[705, 1031]",1031,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
4,1,78608.055,1310.1342,992,32821.7051,0.1865,1292,26.76,2,"[945, 1242]",1242,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,2,65969.1295,1099.4855,877,39973.8479,0.1766,1177,24.09,3,"[518, 835, 1127]",1127,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,3,76287.898,1271.465,786,34198.3817,0.1789,1086,22.32,3,"[338, 665, 1036]",1036,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,4,80296.2612,1338.271,830,43782.4449,0.1707,1130,23.24,3,"[491, 786, 1080]",1080,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,5,74367.7991,1239.4633,851,30280.2628,0.1818,1151,23.56,3,"[468, 810, 1101]",1101,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,6,79175.5289,1319.5921,792,33071.8164,0.1772,1092,22.26,2,"[705, 1042]",1042,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,7,76029.1765,1267.1529,977,35177.8306,0.1812,1277,26.14,3,"[539, 934, 1227]",1227,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,8,78794.1309,1313.2355,377,43609.4212,0.1766,677,13.76,2,"[330, 627]",627,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,9,82795.0628,1379.9177,552,49696.2883,0.197,852,17.36,1,[802],802,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,10,73687.2778,1228.1213,553,36084.3997,0.1748,853,17.52,2,"[496, 803]",803,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
5,1,84781.1904,1413.0198,743,21041.2314,0.2797,1043,21.31,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,2,84564.0028,1409.4,200,18290.5643,0.2774,500,10.15,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,3,84258.0561,1404.3009,246,21993.5039,0.2716,546,11.07,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,4,81517.0251,1358.6171,481,22517.9538,0.2739,781,15.99,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,5,77776.8263,1296.2804,646,26222.6259,0.2838,946,19.15,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,6,77703.5519,1295.0592,185,27102.0016,0.271,485,9.86,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
