best_for_category,config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
best_cost_min,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_cost_max,243,10,40,4000,1.0,3.5,0.05,1000,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,64623.1681,71005.5375,68485.56156,2165.2720345224056,4688402.983484798,68727.15415,1077.0528,1183.4256,1141.42602,36.08786109282614,1302.3337182551145,1145.45255,618,2608,1262.9,613.0458474788906,375825.2111111112,1037.0,1618,3608,2262.9,613.0458474788906,375825.2111111111,2037.0,38129.4259,52021.5632,45265.13464,4114.947744727424,16932794.94183731,45744.08535,0.1061,0.1358,0.12343,0.0092583955893496,8.57178888888889e-05,0.1221,32.82,74.02,45.615,12.825896763103067,164.50362777777778,40.805,4,10,6.0,2.211083193570267,4.888888888888889,5.0
best_cost_avg,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_cost_std,342,10,40,4000,1.0,5.0,0.2,1000,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,75097.8304,76331.2262,75845.89702,387.6859395419164,150300.38771849847,75799.45235,1251.6305,1272.1871,1264.09828,6.461435350652894,41.75014679066689,1263.3242,205,1646,833.8,374.1472675000818,139986.17777777778,858.5,1205,2646,1833.8,374.1472675000818,139986.17777777778,1858.5,39332.2362,71523.3907,58820.896810000006,12156.926215115576,147790854.99976432,61396.22925,0.1061,0.1305,0.11975,0.007696355558892,5.92338888888889e-05,0.1206,23.5,53.18,36.361,7.6430163475481905,58.41569888888888,36.825,0,0,0.0,0.0,0.0,0.0
best_cost_var,342,10,40,4000,1.0,5.0,0.2,1000,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,75097.8304,76331.2262,75845.89702,387.6859395419164,150300.38771849847,75799.45235,1251.6305,1272.1871,1264.09828,6.461435350652894,41.75014679066689,1263.3242,205,1646,833.8,374.1472675000818,139986.17777777778,858.5,1205,2646,1833.8,374.1472675000818,139986.17777777778,1858.5,39332.2362,71523.3907,58820.896810000006,12156.926215115576,147790854.99976432,61396.22925,0.1061,0.1305,0.11975,0.007696355558892,5.92338888888889e-05,0.1206,23.5,53.18,36.361,7.6430163475481905,58.41569888888888,36.825,0,0,0.0,0.0,0.0,0.0
best_cost_median,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_cost_minutes_min,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_cost_minutes_max,243,10,40,4000,1.0,3.5,0.05,1000,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,64623.1681,71005.5375,68485.56156,2165.2720345224056,4688402.983484798,68727.15415,1077.0528,1183.4256,1141.42602,36.08786109282614,1302.3337182551145,1145.45255,618,2608,1262.9,613.0458474788906,375825.2111111112,1037.0,1618,3608,2262.9,613.0458474788906,375825.2111111111,2037.0,38129.4259,52021.5632,45265.13464,4114.947744727424,16932794.94183731,45744.08535,0.1061,0.1358,0.12343,0.0092583955893496,8.57178888888889e-05,0.1221,32.82,74.02,45.615,12.825896763103067,164.50362777777778,40.805,4,10,6.0,2.211083193570267,4.888888888888889,5.0
best_cost_minutes_avg,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_cost_minutes_std,342,10,40,4000,1.0,5.0,0.2,1000,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,75097.8304,76331.2262,75845.89702,387.6859395419164,150300.38771849847,75799.45235,1251.6305,1272.1871,1264.09828,6.461435350652894,41.75014679066689,1263.3242,205,1646,833.8,374.1472675000818,139986.17777777778,858.5,1205,2646,1833.8,374.1472675000818,139986.17777777778,1858.5,39332.2362,71523.3907,58820.896810000006,12156.926215115576,147790854.99976432,61396.22925,0.1061,0.1305,0.11975,0.007696355558892,5.92338888888889e-05,0.1206,23.5,53.18,36.361,7.6430163475481905,58.41569888888888,36.825,0,0,0.0,0.0,0.0,0.0
best_cost_minutes_var,342,10,40,4000,1.0,5.0,0.2,1000,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,75097.8304,76331.2262,75845.89702,387.6859395419164,150300.38771849847,75799.45235,1251.6305,1272.1871,1264.09828,6.461435350652894,41.75014679066689,1263.3242,205,1646,833.8,374.1472675000818,139986.17777777778,858.5,1205,2646,1833.8,374.1472675000818,139986.17777777778,1858.5,39332.2362,71523.3907,58820.896810000006,12156.926215115576,147790854.99976432,61396.22925,0.1061,0.1305,0.11975,0.007696355558892,5.92338888888889e-05,0.1206,23.5,53.18,36.361,7.6430163475481905,58.41569888888888,36.825,0,0,0.0,0.0,0.0,0.0
best_cost_minutes_median,321,10,40,4000,1.0,5.0,0.1,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,61532.8489,73645.5174,67153.71009,3772.272368952999,14230038.82556627,65681.9185,1025.5475,1227.4253,1119.22852,62.87120756282997,3952.7887404084486,1094.69865,952,3678,2044.2,765.4253429012888,585875.9555555555,2019.0,0,3560,2576.4,1037.216702955023,1075818.4888888886,2812.5,49896.1061,78572.1245,63027.4302,8174.783403654015,66827083.69665713,63384.9997,0.0,0.123,0.09522,0.0363948958570352,0.0013245884444444,0.1075,40.83,87.35,65.864,16.504351076138814,272.39360444444446,64.955,3,7,5.3,1.4181364924121764,2.011111111111111,5.0
best_iteration_min,505,10,40,4000,1.5,5.0,0.2,650,999999,400,0.4,80,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,71484.8976,81558.6235,73908.47773,2903.8839151930474,8432541.792916901,72857.39120000001,1191.415,1359.3104,1231.80797,48.3980617329076,2342.372379502335,1214.2899,0,2703,1050.8,708.0745095758716,501369.5111111111,900.0,650,3353,1700.8,708.0745095758716,501369.5111111111,1550.0,35156.1304,89067.1172,70192.65813,18213.679215295782,331738110.5576976,77813.29944999999,0.0431,0.1154,0.08,0.0201020175880708,0.0004040911111111,0.0816,12.86,69.58,34.418,14.916471730569828,222.50112888888887,30.985,1,4,2.3,0.9486832980505138,0.8999999999999999,2.0
best_iteration_max,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
best_iteration_avg,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
best_iteration_std,2,10,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,80068.6137,86203.4064,83592.00288,2068.168550188196,4277321.151987542,84029.2315,1334.4769,1436.7234,1393.2000400000002,34.46946704478559,1188.1441583515598,1400.4872,62,290,153.4,68.75916100580505,4727.822222222222,140.5,362,590,453.4,68.75916100580505,4727.822222222222,440.5,15917.8403,34794.9713,23100.74789,4785.521416525254,22901215.228021875,22027.019,0.2786,0.299,0.2867499999999999,0.0071901553066212,5.169833333333337e-05,0.28475,7.71,15.53,11.18,2.727037464600245,7.4367333333333345,11.395,2,3,2.1,0.3162277660168379,0.0999999999999999,2.0
best_iteration_var,2,10,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,80068.6137,86203.4064,83592.00288,2068.168550188196,4277321.151987542,84029.2315,1334.4769,1436.7234,1393.2000400000002,34.46946704478559,1188.1441583515598,1400.4872,62,290,153.4,68.75916100580505,4727.822222222222,140.5,362,590,453.4,68.75916100580505,4727.822222222222,440.5,15917.8403,34794.9713,23100.74789,4785.521416525254,22901215.228021875,22027.019,0.2786,0.299,0.2867499999999999,0.0071901553066212,5.169833333333337e-05,0.28475,7.71,15.53,11.18,2.727037464600245,7.4367333333333345,11.395,2,3,2.1,0.3162277660168379,0.0999999999999999,2.0
best_iteration_median,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
