config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
1,10,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,74466.9093,86301.5675,80640.99495,4103.056244861331,16835070.54849557,81706.9313,1241.1152,1438.3595,1344.01659,68.38426754020176,4676.4080470098925,1361.7822,89,593,293.4,169.48497147403825,28725.155555555557,249.5,389,893,593.4,169.48497147403825,28725.155555555557,549.5,15017.8079,28543.478,22945.93646,4311.738849057849,18591091.902474705,22924.850850000003,0.264,0.2943,0.27843,0.011400882032154835,0.00012998011111111098,0.27595000000000003,8.36,20.54,12.756,3.8620926969714233,14.915760000000002,11.875,2,6,3.0,1.247219128924647,1.5555555555555554,3.0
2,10,40,4000,0.5,2.0,0.05,300,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,80068.6137,86203.4064,83592.00288,2068.1685501881957,4277321.151987542,84029.2315,1334.4769,1436.7234,1393.2000400000002,34.46946704478559,1188.1441583515598,1400.4872,62,290,153.4,68.75916100580505,4727.822222222222,140.5,362,590,453.4,68.75916100580505,4727.822222222222,440.5,15917.8403,34794.9713,23100.74789,4785.521416525254,22901215.228021875,22027.019,0.2786,0.299,0.28674999999999995,0.007190155306621226,5.1698333333333373e-05,0.28475,7.71,15.53,11.18,2.7270374646002455,7.4367333333333345,11.395,2,3,2.1,0.31622776601683794,0.09999999999999999,2.0
3,10,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,74737.7127,80438.4562,77755.77101,1957.1634782254066,3830488.8804993713,78509.91579999999,1245.6285,1340.6409,1295.9295,32.619387048059416,1064.0244113911065,1308.4986,117,784,563.5,213.66705668191133,45653.61111111111,643.5,417,1084,863.5,213.66705668191133,45653.61111111111,943.5,28974.2912,52295.652,39707.208230000004,6676.701866414583,44578347.81298397,40463.06895,0.162,0.1841,0.17598,0.008352351631593213,6.97617777777778e-05,0.17775000000000002,9.44,22.94,18.724,4.480327864986867,20.07333777777778,20.354999999999997,1,3,1.9,0.8755950357709131,0.7666666666666667,2.0
4,10,40,4000,0.5,2.0,0.05,300,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,65969.1295,82795.0628,76601.03197,4647.894504153992,21602923.32174488,77447.97649999999,1099.4855,1379.9177,1276.68385,77.4648974501103,6000.810336956106,1290.7995999999998,377,992,758.7,200.6290385540217,40252.011111111126,811.0,677,1292,1058.7,200.6290385540217,40252.01111111112,1111.0,30280.2628,49696.2883,37869.63986,6166.343356595622,38023790.39143097,35631.11515,0.1707,0.197,0.18012999999999998,0.007314073192597036,5.34956666666666e-05,0.17804999999999999,13.76,26.76,21.701,4.175458590914829,17.434454444444448,22.78,1,3,2.4,0.6992058987801009,0.4888888888888887,2.5
5,10,40,4000,0.5,2.0,0.05,300,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,77703.5519,84909.9696,82198.78563,3176.9549712588528,10093042.889406338,84144.4283,1295.0592,1415.1662,1369.97974,52.94925068176542,2803.623147760436,1402.4071,56,743,395.2,250.51715399238518,62758.84444444443,363.5,356,1043,695.2,250.51715399238523,62758.844444444454,663.5,18290.5643,29663.4045,23759.65943,3901.831838603568,15224291.6967405,22255.72885,0.2663,0.2995,0.27879,0.009986930348098846,9.973877777777774e-05,0.27595000000000003,7.21,21.31,14.146,5.120968224423537,26.224315555555552,13.530000000000001,0,0,0.0,0.0,0.0,0.0
6,10,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72566.7083,85393.4667,77294.88828,3850.6744023004744,14827693.352532115,76300.885,1209.4451,1423.2244,1288.24813,64.17790843382258,4118.803930940116,1271.68145,177,2523,615.9,696.9221939674791,485700.5444444445,423.0,827,3173,1265.9,696.9221939674791,485700.5444444445,1073.0,16365.4552,34652.745,22253.773090000002,6389.91381873581,40830998.61087087,19439.02805,0.278,0.3073,0.29544000000000004,0.00978095655399363,9.566711111111096e-05,0.29575,16.87,64.65,25.773000000000003,14.193920490438465,201.4673788888889,21.84,6,28,10.1,6.57351588657935,43.2111111111111,8.0
7,10,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,75830.8017,85197.8245,81474.97388,3003.418956746434,9020525.42974384,81281.2525,1263.8467,1419.9637,1357.91623,50.05697235852694,2505.7004817023303,1354.68755,73,1147,465.7,367.9668010387169,135399.56666666665,339.5,723,1797,1115.7,367.9668010387169,135399.56666666665,989.5,13331.2184,29957.7957,20093.09058,5770.065232295235,33293652.784942262,19366.18195,0.2974,0.3129,0.30683,0.00432410555940635,1.8697888888888907e-05,0.30689999999999995,14.93,36.5,22.75,7.490371597368629,56.105666666666664,20.095,6,15,8.8,3.2249030993194197,10.399999999999999,7.0
8,10,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,67869.5857,80720.768,72623.98423,4293.066390182422,18430419.03051393,71653.0073,1131.1598,1345.3461,1210.39975,71.55109307352414,5119.558920016114,1194.2168000000001,455,1665,974.6,412.4200124468582,170090.26666666666,1002.0,1105,2315,1624.6,412.4200124468582,170090.26666666666,1652.0,20446.9625,31048.1642,23875.110500000003,3199.6960829162417,10238055.023029542,23467.7606,0.2681,0.2844,0.2762,0.005696392620675732,3.244888888888893e-05,0.27545,22.49,47.09,32.988,8.398187370564623,70.52955111111113,33.464999999999996,2,7,4.4,1.6465452046971292,2.7111111111111112,4.5
9,10,40,4000,0.5,2.0,0.05,650,999999,250,0.4,50,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,71630.2874,79350.8844,76008.89512,2971.0934944033665,8827396.552486006,77427.89689999999,1193.8381,1322.5147,1266.8148999999999,49.518221089323355,2452.0542198511084,1290.4649,129,1119,692.9,277.2309306136112,76856.98888888888,675.0,779,1769,1342.9,277.2309306136112,76856.9888888889,1325.0,16995.4081,32346.9686,23466.892180000003,4420.986633495885,19545122.813549276,23937.1788,0.2698,0.2867,0.27643,0.004891500565039106,2.3926777777777893e-05,0.2751,15.94,36.68,27.468,5.668597318169245,32.13299555555555,26.875,2,5,3.3,0.8232726023485646,0.6777777777777777,3.0
10,10,40,4000,0.5,2.0,0.05,650,999999,400,0.4,80,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,69441.2312,82406.5455,75282.38715,3670.7464204516705,13474379.283258753,75544.27475000001,1157.3539,1373.4424,1254.7064500000001,61.17909017970197,3742.881075216106,1259.07125,227,1494,835.8,390.362737292722,152383.06666666668,887.0,877,2144,1485.8,390.362737292722,152383.06666666668,1537.0,15216.8957,33838.3242,24069.83973,5997.966544602011,35975602.67016498,24652.300649999997,0.2669,0.2885,0.27858,0.00707763300043799,5.009288888888887e-05,0.2806,18.64,44.31,30.865,8.083841564778742,65.34849444444443,31.68,1,3,2.0,0.6666666666666666,0.4444444444444444,2.0
