config_id,repeat,best_cost_minutes,found_at_iteration,execution_time,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
1,1,1178.3477633166667,1046,21.56,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,2,1298.12345235,896,20.8,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,3,1339.0991423333332,620,14.22,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,4,1216.3695502166665,1262,27.34,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,5,1296.0918933666667,809,17.62,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,6,1249.4746618,1163,24.84,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,7,1169.46713115,1369,30.09,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,8,1174.9434330499998,1957,41.63,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,9,1309.908190983333,1212,25.02,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
1,10,1200.5425568666667,1950,42.03,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
2,1,1294.3669067666667,880,18.63,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,2,1360.69761715,763,17.16,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,3,1359.1732641,1366,30.1,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,4,1369.4197145666667,929,19.54,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,5,1350.2226863833334,1080,22.85,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,6,1337.4143213833333,772,16.71,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,7,1325.0809183499998,634,13.94,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,8,1317.834756083333,983,22.05,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,9,1378.8133676833334,718,15.73,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
2,10,1346.8906709,1229,26.06,40,5000,0.5,2.0,0.05,500,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
3,1,1339.0943010166668,1344,27.95,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,2,1258.8830959499999,1571,33.06,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,3,1277.4922887,1602,33.99,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,4,1253.1112265833333,1889,39.98,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,5,1207.9815430833335,1858,38.73,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,6,1188.6096751166667,1090,22.87,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,7,1267.5238939666667,1146,23.71,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,8,1221.2690082166666,1539,31.93,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,9,1360.0823853666666,1065,22.02,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
3,10,1281.5295846333333,1087,22.37,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
4,1,1268.3328358833335,1181,24.68,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,2,1356.1499227000002,1138,23.52,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,3,1297.7175501666668,1283,26.76,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,4,1381.3792875333334,875,18.54,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,5,1355.7153026666667,1652,34.3,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,6,1276.7487867833333,1368,30.21,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,7,1253.4456925999998,1269,28.55,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,8,1308.1978317166665,664,15.04,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,9,1292.9132750333333,778,17.74,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
4,10,1228.2684361666666,1472,33.23,40,5000,0.5,2.0,0.05,500,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
5,1,1218.1125221666666,1679,38.14,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,2,1240.0610335166664,1607,36.71,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,3,1325.5272173166666,1406,30.43,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,4,1205.7766545000002,1712,37.26,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,5,1132.30359355,2462,52.39,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,6,1368.9475342666667,793,16.83,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,7,1145.0514859999998,2108,44.28,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,8,1263.2720511666666,2254,47.29,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,9,1262.45191535,1332,28.58,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
5,10,1224.1007442833331,2127,44.33,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
6,1,1300.2205841666666,1189,24.83,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
6,2,1306.3646498666667,735,15.27,40,5000,0.5,2.0,0.05,500,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
